event,date,label,image
http://www.wikidata.org/entity/Q4563463,1934-01-01T00:00:00Z,1934 West Coast waterfront strike,http://commons.wikimedia.org/wiki/Special:FilePath/Confrontation%20between%20a%20policeman%20wielding%20a%20night%20stick%20and%20a%20striker%20during%20the%20San%20Francisco%20General%20Strike%2C%201934%20-%20NARA%20-%20541926.jpg
http://www.wikidata.org/entity/Q5609753,1933-02-01T00:00:00Z,Grivița Strike of 1933,http://commons.wikimedia.org/wiki/Special:FilePath/30%20years%20from%20Grivi%C8%9Ba%20strike%20of%201933.jpg
http://www.wikidata.org/entity/Q6023927,1913-01-01T00:00:00Z,Indianapolis Streetcar Strike of 1913,http://commons.wikimedia.org/wiki/Special:FilePath/Crowd%20swarms%20streetcar%20in%201913%20Indianapolis%20Streetcar%20Stirke.jpg
http://www.wikidata.org/entity/Q7073405,1920-01-01T00:00:00Z,Oahu Sugar Strike of 1920,http://commons.wikimedia.org/wiki/Special:FilePath/Oahu%20sugar%20strike%20of%201920.png
http://www.wikidata.org/entity/Q4242356,1919-01-01T00:00:00Z,La Canadiense Strike,http://commons.wikimedia.org/wiki/Special:FilePath/1919-03-14%2C%20Nuevo%20Mundo%2C%20La%20huelga%20de%20Barcelona.jpg
http://www.wikidata.org/entity/Q4559498,1912-01-01T00:00:00Z,1912 New York City waiters' strike,http://commons.wikimedia.org/wiki/Special:FilePath/Strike%202990272474%20524b6f4c0d%20o.jpg
http://www.wikidata.org/entity/Q4559498,1912-01-01T00:00:00Z,1912 New York City waiters' strike,http://commons.wikimedia.org/wiki/Special:FilePath/Striking%20waiters%20at%20Hdqrts.%20LCCN2014692213.jpg
http://www.wikidata.org/entity/Q1153853,1913-01-01T00:00:00Z,1913 Paterson silk strike,http://commons.wikimedia.org/wiki/Special:FilePath/Haywood%203084407393%20962e87e46a%20o.jpg
http://www.wikidata.org/entity/Q3118386,1912-01-01T00:00:00Z,1912 Lawrence Textile Strike,http://commons.wikimedia.org/wiki/Special:FilePath/1912%20Lawrence%20Textile%20Strike%201.jpg
http://www.wikidata.org/entity/Q20711020,1939-10-01T00:00:00Z,Chrysler Auto Strike,http://commons.wikimedia.org/wiki/Special:FilePath/Chrysler%20workers%20vote%20strike.jpg
http://www.wikidata.org/entity/Q28407700,1973-12-28T00:00:00Z,Skylab mutiny,http://commons.wikimedia.org/wiki/Special:FilePath/Skylab4%20crew.jpg
http://www.wikidata.org/entity/Q1250976,1978-07-11T00:00:00Z,Los Alfaques disaster,http://commons.wikimedia.org/wiki/Special:FilePath/Los%20Alfaques%20Gedenken.jpg
http://www.wikidata.org/entity/Q2193276,1997-08-31T00:00:00Z,"death of Diana, Princess of Wales",http://commons.wikimedia.org/wiki/Special:FilePath/Alma%20tunnel%20Paris.jpg
http://www.wikidata.org/entity/Q2822712,1969-07-18T00:00:00Z,Chappaquiddick incident,http://commons.wikimedia.org/wiki/Special:FilePath/Chappaquiddick4.png
http://www.wikidata.org/entity/Q3149853,1999-03-24T00:00:00Z,fire of the Mont Blanc tunnel,http://www.wikidata.org/.well-known/genid/74cff68d6fb2fcc431fac884afbf14b1
http://www.wikidata.org/entity/Q185642,1905-01-22T00:00:00Z,"Bloody Sunday, St Petersburg",http://commons.wikimedia.org/wiki/Special:FilePath/BloodySunday1905b.jpg
http://www.wikidata.org/entity/Q555511,1929-01-01T00:00:00Z,Lupeni Strike of 1929,http://commons.wikimedia.org/wiki/Special:FilePath/Istrati%20in%20Lupeni%2C%201929.jpg
http://www.wikidata.org/entity/Q578858,1912-04-04T00:00:00Z,Lena massacre,http://commons.wikimedia.org/wiki/Special:FilePath/Lena%2017%2004%201912.jpg
http://www.wikidata.org/entity/Q586082,1941-02-01T00:00:00Z,February strike,http://commons.wikimedia.org/wiki/Special:FilePath/Duitse%20razzia%20op%20het%20Jonas%20Dani%C3%ABl%20Meijerplein%20te%20Amsterdam.jpg
http://www.wikidata.org/entity/Q9005182,1951-03-01T00:00:00Z,Barcelona tram strike,http://commons.wikimedia.org/wiki/Special:FilePath/Tramstaking%20in%20Barcelona%20%28tramboycot%20door%20bevolking%29%2C%20Bestanddeelnr%20908-2746.jpg
http://www.wikidata.org/entity/Q11870881,1949-08-18T00:00:00Z,1949 Kemi strike,http://commons.wikimedia.org/wiki/Special:FilePath/Kemi%20strikes%201949.jpg
http://www.wikidata.org/entity/Q17089178,1937-01-01T00:00:00Z,Little Steel Strike,http://commons.wikimedia.org/wiki/Special:FilePath/Photograph%20titled%20%22The%20Chicago%20Memorial%20Day%20Incident%22%20-%20NARA%20-%20306197.jpg
http://www.wikidata.org/entity/Q7126136,1996-10-11T00:00:00Z,Pala accident,http://commons.wikimedia.org/wiki/Special:FilePath/Pala%20bussi%C3%B5nnetuse%20m%C3%A4lestuskivi.jpg
http://www.wikidata.org/entity/Q2918374,1997-09-06T00:00:00Z,"funeral of Diana, Princess of Wales",http://commons.wikimedia.org/wiki/Special:FilePath/Diana%27s%20funeral.jpg
http://www.wikidata.org/entity/Q5247273,1994-04-27T00:00:00Z,death and funeral of Richard Nixon,http://commons.wikimedia.org/wiki/Special:FilePath/Presidents%20at%20the%20funeral%20of%20President%20Richard%20Nixon.jpg
http://www.wikidata.org/entity/Q5509126,1910-05-20T00:00:00Z,Funeral of King Edward VII,http://commons.wikimedia.org/wiki/Special:FilePath/Body%20of%20King%20Edward%20en%20route%20to%20Westminster%20LCCN2014688203.jpg
